 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1177,282,255,255,255,21.166,16.964,60.825,0.803,1.248,0.801,0.922
1178,296,255,255,255,22.850,16.494,13.239,0.843,1.385,0.722,0.929
1179,308,255,255,255,22.601,17.351,106.498,0.868,1.303,0.768,0.932
1180,382,255,255,255,23.706,20.517,129.088,0.875,1.155,0.865,0.928
1181,303,255,255,255,24.588,15.691,114.275,0.728,1.567,0.638,0.883
1182,316,255,255,255,23.423,17.177,176.930,0.882,1.364,0.733,0.936
1183,481,255,255,255,25.869,23.675,20.742,0.927,1.093,0.915,0.960
1184,440,255,255,255,27.150,20.635,117.639,0.899,1.316,0.760,0.946
1185,368,255,255,255,24.049,19.484,178.474,0.867,1.234,0.810,0.935
1186,386,255,255,255,24.831,19.793,160.462,0.813,1.255,0.797,0.939
1187,330,255,255,255,22.519,18.658,14.135,0.836,1.207,0.829,0.924
1188,414,255,255,255,24.469,21.542,102.118,0.925,1.136,0.880,0.943
1189,313,255,255,255,22.673,17.577,93.057,0.876,1.290,0.775,0.932
1190,326,255,255,255,21.226,19.555,20.432,0.935,1.085,0.921,0.945
1191,378,255,255,255,22.782,21.125,162.342,0.912,1.078,0.927,0.940
1192,293,255,255,255,19.713,18.925,97.019,0.903,1.042,0.960,0.935
1193,368,255,255,255,22.565,20.764,35.701,0.917,1.087,0.920,0.942
1194,221,255,255,255,19.339,14.550,124.551,0.906,1.329,0.752,0.925
1195,310,255,255,255,21.795,18.110,159.068,0.887,1.204,0.831,0.945
1196,435,255,255,255,26.734,20.717,178.274,0.870,1.290,0.775,0.941
1197,394,255,255,255,25.516,19.660,108.027,0.861,1.298,0.771,0.925
1198,367,255,255,255,23.562,19.832,65.629,0.873,1.188,0.842,0.933
1199,304,255,255,255,21.130,18.318,22.128,0.901,1.153,0.867,0.941
1200,376,255,255,255,23.233,20.606,137.801,0.886,1.128,0.887,0.928
1201,449,255,255,255,26.108,21.897,51.009,0.917,1.192,0.839,0.956
